date,Category,Before_Tax_Income,net_mean_worth,Assets,Financial_Assets,Transaction_Accounts,Certificates_of_Deposit,Savings_Bonds,Directly_Held_Bonds,Directly_Held_Stocks,Pooled_Investment_Funds,Cash_Value_Life_Insurance,Other_Managed_Assets,Retirement_Accounts,Other_Financial_Assets,Stock_Holdings,Nonfinancial_Assets,Primary_Residence,Owned_Vehicles,Other_Residential_Real_Estate,Net_Equity_in_Nonres_Real_Estate,Business_Equity,Other_Non_Financial_Assets,Unrealized_Capital_Gains,Debt,Home_Secured_Debt,Other_Res_Real_Estate_Debt,Installment_Loans,Other_Lines_of_Credit,Credit_Card_Balances,Other_Debt,Mortgages_Home_Equity_Loans,Home_Equity_Lines_of_Credit,Vehicle_Installment_Loans,Education_Installment_Loans,Other_Installment_Loans
1989,All families,81.62590450595472,376.6439343554343,452.7253159124438,150.1375087293512,28.85288846188991,65.78525669641461,8.225269191148445,217.848363632424,119.8667842359594,99.07530566152261,22.25283650447971,264.3963380300917,75.6744593142343,55.13738713442906,118.5257914591056,330.5920179547792,211.2932015341763,19.56136445273142,182.174933208474,298.4687063652412,600.4187613646785,54.75482667008606,220.9706255304702,71.87622768253732,90.34293489922268,77.27091904006065,17.51374110490233,30.40502108022622,3.755419986283763,18.08963761210398,87.67468150999933,58.15463483803869,14.82278406811643,10.94125607039884,11.52338925533539
1992,All families,71.58215396548046,334.4252007156279,407.935880167024,137.3818300407262,24.70873302441081,59.05501157013371,6.288350507628686,243.4643160347521,119.4085490319479,90.06081201342759,21.58899440372723,167.091992100493,79.5162755929758,46.22606523877954,113.1169730464845,293.9999491453303,196.334694757132,17.68036125139984,178.0868719620943,307.7741929274518,490.4690075827227,48.88657583484287,186.0759662422027,77.17039193217767,103.952392923199,101.9926604102802,13.94715108280235,19.90567249533715,4.135237200898474,16.39089962590243,101.5886202635241,36.73133970380634,12.11076000557079,12.61857982473943,7.650373761090595
1995,All families,74.56438240138233,355.7689258819468,432.0814516098393,168.3694508993946,24.38484485642329,60.43208743292799,8.768125796919046,314.195491829425,157.0456041355341,157.0191076058853,34.17940671777168,227.0545837388004,95.64211299084516,46.74317372900295,152.2203647310378,289.2164675969861,192.1369176776607,22.24445702882822,181.6158345710614,215.8323629752257,568.8623055172794,68.77795812272218,163.1441723376213,81.41721291458418,107.8959391107909,100.4240308858945,15.76270456199819,18.17228703762613,4.99160046372068,20.42503839854854,107.3951620031881,29.91188434697229,13.72458642376677,13.34351143872295,8.178047997466777
1998,All families,83.42735941960821,446.1079818635106,536.9124473378404,228.5580144714282,26.44409676937942,59.16601185227223,7.405608543714936,303.2310415797054,249.9515465543425,158.8533468556446,45.22129359756967,316.482133093535,119.9722174331814,40.91337022111071,233.6881679933973,341.8960385872752,218.0715537939993,23.94226605144,206.6588042553515,278.3649232130034,693.7145955114843,60.44466968089959,218.0661869991085,99.78527838064102,122.150263251751,111.8632216221998,22.3811728857279,10.63038550678437,6.480593293555802,31.46572737983305,122.3283836033696,29.45406201703298,16.87429497624415,20.47860497711886,17.49269599103467
2001,All families,99.88188485652823,574.1689031074933,674.8529547477383,297.638774894199,35.16537430211514,54.09800191192627,11.35885986470039,418.2915541029566,277.5539818334457,190.101318964154,52.11915612254376,449.0255216651786,151.4808478358825,59.89574305972589,297.4350941429537,413.1951010281199,261.7042807479726,26.49052526216197,269.6732923322982,377.8497706147122,796.0999022768279,81.26265950576179,261.877061197211,104.7911380282483,132.685821660876,105.7543424305551,21.53215430777588,25.78590937985558,5.979117699983329,25.5114860541233,132.3585226673795,37.67925655960389,16.23679231893292,19.96532091059872,15.77083896544101
2004,All families,95.80137104121943,608.9049401798975,731.2510943222674,273.6423771341305,36.85993845289698,74.37490071328206,7.805984456103735,741.0217956239733,216.726029715548,248.4230091889532,31.26658336167532,280.6813701879292,166.8739306065182,53.84075009846531,261.8238083154731,496.4702807249487,334.6838667421942,27.2487607689314,370.9830605079105,397.247413416828,888.4400969693569,91.23966580898718,306.2720415984605,140.2711241437332,168.0447720031406,232.5841104604253,25.44912685468003,49.21980422961867,6.963492778256023,22.69272048815649,165.091981221113,53.90883841690997,18.29492509150024,22.79537061952056,24.95791431558681
2007,All families,103.8746132537665,687.3225509670821,825.842524800602,294.5824204670147,32.7197588403957,68.67133130340453,8.129139019382791,708.6094292784082,272.1417852291939,381.5050728177234,38.5331507567619,305.6302156502064,181.8439298588893,78.55720450939445,278.9191532398916,576.7254932366727,373.4986811461447,27.1629954198436,436.2891967599834,348.1621041311817,1159.599022097371,78.04259743407511,403.7690306021258,155.5695810548797,183.8245188194866,219.4989893005349,26.1260174683053,29.7293459075283,9.049928682269435,18.94425067049172,184.432251716554,48.36090976411829,17.99572012774626,26.569976181325,18.90734029975373
2010,All families,92.29412205322276,583.1339723460001,716.4739003688888,280.7062492520147,38.00011762499725,85.46066436731627,7.205531907843976,691.7590619298585,239.583437285429,455.46103610011,33.37957721168306,285.0762967956401,201.3141079642027,75.83564245840219,247.8802861707347,475.3583997329796,307.5939928943653,26.04027648476473,340.2803890780712,379.7993269816631,920.4848829469391,75.59429855079719,244.0670293337228,153.5043888976195,181.5118104430637,209.8813506906934,27.66646779134824,56.51766098874653,8.342888917812385,18.73136573281529,178.5007790530891,64.16865767084518,16.58046918839289,30.47561772109225,17.30553623109171
2013,All families,95.12385495118106,580.2970913493327,694.6543197034991,294.2134628422281,39.69468436295021,70.75925819004212,7.019195325593441,631.9516753854627,312.36173503202,498.5932019114994,38.72006224408512,405.2385962074476,220.8909470826463,63.14024249949324,291.8225480974405,441.9241875538661,288.3484656574992,24.81321313069502,346.560178771953,295.457463109959,1034.329613846036,77.46456901449237,242.3688899265792,134.2710452928005,172.0111001525499,170.4103758972286,27.76156014454726,38.53861628112261,6.291665161835223,15.96614251226325,171.6489629026172,52.61836988466512,15.99678668096328,31.96805418878647,17.32363656127586
2016,All families,108.7804420647074,733.3423014932208,840.0493566366928,361.0472512367837,42.57522234457977,80.44221553180199,10.11849832647006,814.0968586167889,347.821883781985,817.9501010065806,39.77255820808048,500.3290265569303,243.2660654412171,64.70190067213665,364.6658019536393,528.1052925975204,320.3186149882747,26.91554114896037,384.745563677855,504.7142105366961,1257.945616756262,78.88789513091575,325.3934873043099,131.730866694847,167.574042430127,169.447797055588,33.22833291997055,59.01436108632247,6.073197826023572,27.65806399221276,169.5457065833496,52.99768390450491,18.2875176772848,36.4728461147592,21.02017845623069
2019,All families,106.2511283488419,746.8210462086851,858.1518591606,362.9238341749339,41.6013302253074,101.9541235194417,8.46834441389557,652.7756836907984,343.71413949866,850.437531530558,40.95088445547659,511.3642462794017,255.1252307084794,72.23505380421014,371.3906926963843,543.4714401632195,344.1610175979496,26.53211865893087,403.7027976449693,375.0501385752132,1241.008164696862,77.67966602015424,347.3437072913352,140.4160744557343,180.5065982922186,202.2589667109265,33.70291599935709,40.06908562238537,6.27144522583846,24.33129509130903,184.2977166614558,49.92885012477029,17.55278582759086,40.54984024312218,20.52105337360488
